,dayname,hour,cluster,Lat,Lon
450,Monday,10,12,40.6925947368421,-73.9961
451,Monday,11,-1,40.731085994647636,-73.9311991971454
452,Monday,11,0,40.74773565640194,-73.9863686925986
453,Monday,11,1,40.64452923076923,-73.78496
454,Monday,11,2,40.773944927536235,-73.87235217391304
455,Monday,11,3,40.68788181818182,-74.18215909090908
456,Monday,11,4,40.77310555555556,-73.88573888888888
457,Monday,11,5,40.769684931506845,-73.86461232876712
458,Monday,11,6,40.714875968992246,-73.9572046511628
459,Monday,11,7,40.693297916666666,-74.17783333333334
460,Monday,11,8,40.6975,-73.99378846153846
461,Monday,11,9,40.64583636363636,-73.77672727272727
462,Monday,11,10,40.69303333333333,-73.98621666666666
463,Monday,11,11,40.70269583333333,-73.98711250000001
464,Monday,11,12,40.79953846153846,-73.96947692307693
465,Monday,11,13,40.805972222222216,-73.96419444444444
466,Monday,12,-1,40.7318294117647,-73.93667918552036
467,Monday,12,0,40.74674492446329,-73.98666506758548
468,Monday,12,1,40.77146417910448,-73.86761492537313
469,Monday,12,2,40.64382830188679,-73.7891679245283
470,Monday,12,3,40.645761728395065,-73.78085925925926
471,Monday,12,4,40.712509999999995,-73.95075
472,Monday,12,5,40.69317714285714,-74.17805714285714
473,Monday,12,6,40.70283333333333,-73.99001538461539
474,Monday,12,7,40.69059142857142,-73.98583142857143
475,Monday,12,8,40.71653297872341,-73.96105212765957
476,Monday,12,9,40.72257777777778,-73.94732222222223
477,Monday,12,10,40.68548888888889,-73.97576666666666
478,Monday,13,-1,40.73290394736842,-73.94372779605264
479,Monday,13,0,40.7476912,-73.98695871999999
480,Monday,13,1,40.70227941176471,-73.99010294117647
481,Monday,13,2,40.64526859504132,-73.78396900826446
482,Monday,13,3,40.771486432160806,-73.86785075376883
483,Monday,13,4,40.69368194444444,-74.17790694444444
484,Monday,13,5,40.716338202247194,-73.95968314606742
485,Monday,13,6,40.675533333333334,-73.98287222222223
486,Monday,14,-1,40.73700783018868,-73.9339446226415
487,Monday,14,0,40.74823114654824,-73.98593094469116
488,Monday,14,1,40.77209892473118,-73.86888763440861
489,Monday,14,2,40.644912284482764,-73.78413836206896
490,Monday,14,3,40.69357538461538,-74.17809538461537
491,Monday,14,4,40.691224210526315,-73.98838842105263
492,Monday,14,5,40.80760882352941,-73.96285
